ID,Title,Journal,Year,Cited,Last Updated,Type of survey,Field of application,Site name,Country,Duration (days),# snapshots,Frequency (snapshot/day),ERT layout,Buried,Surface (m),Electrode spacing (m) ,Config Elec,Nb Elec,Resistivimeter
Hussain et al. (2015),Combining δ13C measurements  ERT imaging: improving our understanding of competition at the crop-soil-hedge interface,Plant Soil,2015,14,6/9/2021,Semi-permanent study,Vegetation,,Thailande,75,75,1,2d buried,Yes,"1,75 m",,1 line x 36 elec + 1 line x 9 + 1 line x 50 (at different depths),54,Syscal
Johnson et al. (2015),Time‐lapse electrical geophysical monitoring of amendment‐based biostimulation,Groundwater,2015,19,6/11/2021,Semi-permanent study,Contaminant monitoring,Brandywine,USA,762,1524,1,3d borehole,Yes,8 x 10 x 14 m,0.75,7 boreholes x 15 elec,105,MPT-DAS-1
Johnson et al. (2015),Four-dimensional electrical conductivity monitoring of stage-driven river water intrusion: Accounting for water table effects using a transient mesh boundary and conditional inversion constraints,Water Resources Research,2015,23,6/11/2021,Semi-permanent study,Contaminant monitoring,Hanford Site,USA,200,800,0,3d surface,No,,10,11 lines x 32 elec,352,
Kobierska et al. (2015),A multi-method field experiment to determine local groundwater flow in a glacier forefield,Hydrological Processes,2015,10,6/11/2021,Artificial conditions,Hydrogeology,,Switzerland,,,,,,,,,,
Liao et al. (2015),Application of 3D electrical capacitance tomography in probing anomalous blocks in water,Journal of Applied Geophysics,2015,8,6/9/2021,Laboratory setup,Vegetation,,China,,,,,,,,,,
Loperte et al. (2015),Monte Cotugno Dam Monitoring by the Electrical Resistivity Tomography,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2015,13,6/8/2021,Regular measurements,Geotechnics,,Italy,,,,,,,,,,
Lu et al. (2015),Monitoring CO2 sequestration into deep saline aquifer and associated salt intrusion using coupled multiphase flow modeling and time-lapse electrical resistivity tomography,Greenhouse Gases: Science and Technology,2015,2,6/10/2021,Semi-permanent synthetic/suggested,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1825,260,0,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Mainali et al. (2015),Tailings dams monitoring in Swedish mines using self-potential and electrical resistivity methods,Electronic Journal of Geotechnical Engineering,2015,23,5/28/2021,Regular measurements,Mining environment,,Sweden,1,,#DIV/0!,,,,,,1,
Manoli et al. (2015),An iterative particle filter approach for coupled hydro-geophysical inversion of a controlled infiltration experiment,Journal of Computational Physics,2015,29,5/27/2021,Semi-permanent synthetic/suggested,Contaminant monitoring,,Italy,,,,,,,,,,
Mao et al.  (2015),Resistivity and self-potential tomography applied to groundwater remediation and contaminant plumes: Sbox and field experiments,Journal of Hydrology,2015,38,6/11/2021,,Hydrogeology,,Irle,,,,,,,,,,
Moreno et al. (2015),Hydro-geophysical monitoring of orchard root zone dynamics in semi-arid region,Irrigation Science,2015,21,6/9/2021,,Vegetation,,Israel,,,,,,,,,,
Parsekian et al. (2015),Multiscale geophysical imaging of the critical zone,Reviews of Geophysics,2015,129,6/11/2021,,Hydrogeology,,USA,,,,,,,,,,
Persson et al. (2015),Observing solute transport in the capillary fringe using image analysis and electrical resistivity tomography in laboratory experiments,Vadose Zone Journal,2015,12,6/11/2021,,Contaminant monitoring,,Sweden,,,,,,,,,,
Power et al. (2015),Improved time-lapse electrical resistivity tomography monitoring of dense non-aqueous phase liquids with surface-to-horizontal borehole arrays,Journal of Applied Geophysics,2015,45,5/27/2021,,Contaminant monitoring,,Grece,,,,,,,,,1,
Priegnitz et al. (2015),Characterizing electrical properties and permeability changes of hydrate bearing sediments using ERT data,Geophysical Journal International,2015,50,6/10/2021,Semi-permanent laboratory,Gas Dynamics,,Germany,,,,,,,,,,
Robinson et al. (2015),Challenges and opportunities for fractured rock imaging using 3D cross-borehole electrical resistivity,Geophysics,2015,13,6/11/2021,,Hydrogeology,,USA,,,,,,,,,,
Ronczka et al. (2015),Cost-efficient imaging and monitoring of saltwater in a shallow aquifer by using long electrode ERT,Journal of Applied Geophysics,2015,11,5/28/2021,Semi-permanent synthetic/suggested,Saline intrusion,,Germany,1,,#DIV/0!,,,,,,1,
Rucker (2015),Deep well rinsing of a copper oxide heap,Hydrometallurgy,2015,14,6/11/2021,Artificial conditions,Contaminant monitoring,,USA,,,,,,,,,,
Satriani et al. (2015),Integrated geophysical techniques for sustainable management of water resource. A case study of local dry bean versus commercial common bean cultivars,Agricultural Water Management,2015,24,6/9/2021,,Vegetation,,Italy,,,,,,,,,,
Sawyer et al. (2015),Time‐lapse electrical resistivity imaging of solute transport in a karst conduit,Hydrological Processes,2015,16,6/11/2021,,Hydrogeology,,USA,,,,,,,,,,
Sentenac et al. (2015),Small scale monitoring of a bioremediation barrier using miniature electrical resistivity tomography,Journal of Applied Geophysics,2015,6,6/11/2021,Laboratory setup,Contaminant monitoring,,UK,,,,,,,,,,
Singha et al. (2015),Advances in interpretation of subsurface processes with time-lapse electrical imaging,Hydrological Processes,2015,95,6/11/2021,,Hydrogeology,,USA,,,,,,,,,1,
Uhlemann et al. (2015),Interpolation of landslide movements to improve the accuracy of 4D geoelectrical monitoring,Journal of Applied Geophysics,2015,40,6/8/2021,Semi-permanent study,Landslide,Hollin Hill,UK,2190,4380,1,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Ulrich et al. (2015),Riverbed Clogging Associated with a California Riverbank Filtration System: An Assessment of Mechanisms and Monitoring Approaches,Journal of Hydrology,2015,39,6/11/2021,Regular measurements,Hydrogeology,,USA,,,,,,,,,,
Ulusoy et al. (2015),"Time-lapse electrical resistivity tomography of a water infiltration test on Johannishus Esker, Sweden",Hydrogeology Journal,2015,8,6/11/2021,Semi-permanent study,Contaminant monitoring,,Sweden,60,7,9,2D surface,No,144 + 160 + 200 + 200 + 160 + 320,2,6 lines x 100 elec (mean),592,ABEM
Wagner et al. (2015),Impact mitigation of borehole related effects in permanent crosshole resistivity imaging: An example from the Ketzin CO2 storage site,Journal of Applied Geophysics,2015,19,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1825,260,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Wagner et al. (2015),Constructive optimization of electrode locations for target-focused resistivity monitoring,Geophysics,2015,23,6/11/2021,Semi-permanent synthetic/suggested,Hydrogeology,,Germany,,,,,,,,,1,
Wehrer et al. (2015),Characterization of water content dynamics and tracer breakthrough by 3-D electrical resistivity tomography (ERT) under transient unsaturated conditions,Water Resources Research,2015,23,6/11/2021,Artificial conditions,Contaminant monitoring,,USA,,,,,,,,,,
Wilkinson et al. (2015),Development and testing of displacement inversion to track electrode movements on 3-D electrical resistivity tomography monitoring grids,Geophysical Journal International,2015,26,6/8/2021,Semi-permanent laboratory,Landslide,,UK,1,,#DIV/0!,,,,,,1,ALERT
Wilkinson et al. (2015),Adaptive time-lapse optimized survey design for electrical resistivity tomography monitoring,Geophysical Journal International,2015,11,6/11/2021,Semi-permanent synthetic/suggested,Hydrogeology,,UK,1,,#DIV/0!,,,,,,1,ALERT
Winters et al. (2015),Mapping underground layers in the super arid Gidron Wadi using electrical resistivity tomography (ERT),Journal of Arid Environments,2015,18,6/11/2021,,Hydrogeology,,Israel,,,,,,,,,,
Yang et al. (2015),Monitoring CO2 migration in a shallow s aquifer using 3D crosshole electrical resistivity tomography,International Journal of Greenhouse Gas Control,2015,37,6/10/2021,Artificial conditions,Gas Dynamics,,Danemark,1,,#DIV/0!,,,,,,1,
Zhang et al. (2015),Numerical studies of imaging subsurface waterfloods using CSERT with time-lapse inversion,Journal of Geophysics and Engineering,2015,0,6/11/2021,Numerical work,Hydrogeology,,China,,,,,,,,,,
 Degueurce et al. (2016),On the value of electrical resistivity tomography for monitoring leachate injection in solid state anaerobic digestion plants at farm scale,Waste Management,2016,18,6/11/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Ain-Lhout et al. (2016),Monitoring the evolution of soil moisture in root zone system of Argania spinosa using electrical resistivity imaging,Agricultural Water Management,2016,27,6/9/2021,,Vegetation,,Maroc,,,,,,,,,,
André et al. (2016),Electrical resistivity tomography to quantify in situ liquid content in a full-scale dry anaerobic digestion reactor,Bioresource Technology,2016,20,6/11/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Arora et al. (2016),Non-intrusive hydro-geophysical characterization of the unsaturated zone of South India-A case study,Journal of African Earth Sciences,2016,5,6/11/2021,Semi-permanent study,Hydrogeology,,Inde,365,24,15,2d surface,No,96m,2,1 line x 48,48,Syscal
Audebert et al. (2016),understanding leachate flow in municipal solid waste landfills by combining time-lapse ERT and subsurface flow modelling – Part I: Analysis of infiltration shape on two different waste deposit cells,Waste Management,2016,25,5/26/2021,Artificial conditions,Contaminant monitoring,Champs-Jouault MSW landfill site,France,0.25,5,20,"3,5D surface",No,4 x 38,1.6,4 x 24,96,Syscal
Audebert et al. (2016),understanding leachate flow in municipal solid waste landfills by combining time-lapse ERT and subsurface flow modelling – Part II: Constraint methodology of hydrodynamic models,Waste Management,2016,18,5/26/2021,Artificial conditions,Contaminant monitoring,Champs-Jouault MSW landfill site,France,0.3,6,20,3D surface,Yes,4 x 38,1.6,4 x 24,96,Syscal
Basirat et al. (2016),"Numerical modelling of CO2 injection at small-scale field experimental site in Maguelone, France",International Journal of Greenhouse Gas Control,2016,5,6/10/2021,Regular measurements,Gas Dynamics,,France,1,,#DIV/0!,,,,,,1,
Bearce et al. (2016),Electrical resistivity imaging of laboratory soilcrete column geometry,Journal of Geotechnical and Geoenvironmental Engineering,2016,6,6/8/2021,Artificial conditions,Geotechnics,,USA,,,,,,,,,,
Bellmunt et al. (2016),Capability of cross-hole electrical configurations for monitoring rapid plume migration experiments,Journal of Applied Geophysics,2016,18,6/11/2021,,Contaminant monitoring,,Espagne,,,,,,,,,,
Bergmann et al. (2016),"Review on geophysical monitoring of CO2 injection at Ketzin, Germany",Journal of Petroleum Science and Engineering,2016,38,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,2920,416,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Bosch et al. (2016),Core-scale electrical resistivity tomography (ERT) monitoring of CO2-brine mixture in Fontainebleau sandstone,Journal of Applied Geophysics,2016,14,6/10/2021,Laboratory setup,Gas Dynamics,,France,,,,,,,,,,
Brillante et al. (2016),Variations in soil-water use by grapevine according to plant water status and soil physical-chemical characteristics—A 3D spatio-temporal analysis,European Journal of Agronomy,2016,31,6/9/2021,Semi-permanent study,Vegetation,,France,730,730,1,2D surface,No,17.25,0.75,2 lines x 24 elec,48,Syscal
Brillante et al. (2016),Electrical imaging of soil water availability to grapevine: a benchmark experiment of several machine-learning techniques,Precision Agriculture,2016,22,6/9/2021,,Vegetation,,France,,,,,,,,,,
Carrière et al. (2016), The role of porous matrix in water flow regulation within a karst unsaturated zone: an integrated hydrogeophysical approach,Hydrogeology Journal,2016,29,6/11/2021,,Hydrogeology,,France,,,,,,,,,1,
Cassiani et al. (2016),"Soil–plant interaction monitoring: Small scale example of an apple orchard in Trentino, North-Eastern Italy",Science of the Total Environment,2016,36,6/9/2021,,Vegetation,,Italy,,,,,,,,,,
Chou et al. (2016),Estimation of saturated hydraulic conductivity during infiltration test with the aid of ERT and level-set method,Vadose Zone Journal,2016,8,6/11/2021,,Hydrogeology,,Canada,,,,,,,,,,
Commer et al. (2016),"Time-lapse 3-D electrical resistance tomography inversion for crosswell monitoring of dissolved and supercritical CO2 flow at two field sites: Escatawpa and Cranfield, Mississippi, USA",International Journal of Greenhouse Gas Control,2016,20,6/10/2021,,Gas Dynamics,,USA,,,,,,,,,,
Englert et al. (2016),Comparison of smoothness-constrained and geostatistically based cross-borehole electrical resistivity tomography for characterization of solute tracer plumes,Water Science and Engineering,2016,3,5/26/2021,,Contaminant monitoring,,Germany,,,,,,,,,,
Gance et al. (2016),Permanent electrical resistivity measurements for monitoring water circulation in clayey landslides,Journal of Applied Geophysics,2016,37,6/8/2021,Semi-permanent study,Landslide,Super-Sauze,France,284,568,1,2D surface,No,113,"entre 0,5 et 2",93,93,GEOMON 4D
Giordano et al. (2016),Laboratory scale geophysical measurements aimed at monitoring the thermal affected zone in Underground Thermal Energy Storage (UTES) applications,Hydrogeology Journal,2016,12,5/26/2021,,Geothermy,,Italy,,,,,,,,,1,
Haaken et al. (2016),Time-Lapse Electrical Imaging of Water Infiltration in the Context of Soil Aquifer Treatment,Vadose Zone Journal,2016,10,6/11/2021,,Contaminant monitoring,,Germany,,,,,,,,,,
Hermans et al. (2016),Direct prediction of spatially and temporally varying physical properties from time‐lapse electrical resistance data,Water Resources Research,2016,32,6/11/2021,,Hydrogeology,,USA,,,,,,,,,1,
Hermans et al. (2016),Covariance-constrained difference inversion of time-lapse electrical resistivity tomography data,Geophysics,2016,28,6/11/2021,,Hydrogeology,,Belgium,,,,,,,,,1,
Kiflu et al. (2016),Improving resistivity survey resolution at sites with limited spatial extent using buried electrode arrays,Journal of Applied Geophysics,2016,16,6/11/2021,,Hydrogeology,,USA,,,,,,,,,1,
Kim et al. (2016),Monitoring CO2 drainage and imbibition in a heterogeneous sandstone using both seismic velocity and electrical resistivity measurements,Exploration Geophysics,2016,3,6/10/2021,Laboratory setup,Gas Dynamics,,Japon,,,,,,,,,,
Kuras et al. (2016),"Geoelectrical monitoring of simulated subsurface leakage to support high-hazard nuclear decommissioning at the Sellafield Site, UK",Science of the Total Environment,2016,38,5/26/2021,Semi-permanent study,Contaminant monitoring,Sellafield,UK,730,730,1,3D borehole,Yes,40 x 20 x 40,1,6 boreholes of 40 elec,240,ALERT
Mao et al. (2016),Geophysical monitoring of hydrocarbon-contaminated soils remediated with a bioelectrochemical system,Environmental Science and Technology,2016,25,6/11/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Mares et al. (2016),Examining diel patterns of soil and xylem moisture using electrical resistivity imaging,Journal of Hydrology,2016,34,6/9/2021,,Vegetation,,USA,,,,,,,,,,
Mary et al. (2016),Mapping tree root system in dikes using induced polarization: Focus on the influence of soil water content,Journal of Applied Geophysics,2016,19,6/9/2021,,Vegetation,,France,,,,,,,,,,
Masy et al. (2016),Electrical resistivity tomography to monitor enhanced biodegradation of hydrocarbons with Rhodococcus erythropolis T902. 1 at a pilot scale,Journal of Contaminant Hydrology,2016,19,6/11/2021,,Contaminant monitoring,,Belgium,,,,,,,,,1,
Michot et al. (2016),Nonstationarity of the electrical resistivity and soil moisture relationship in a heterogeneous soil system: a case study,Soil : European Geosciences Union,2016,15,6/11/2021,,Hydrogeology,,France,,,,,,,,,1,
Murton et al. (2016),Monitoring rock freezing and thawing by novel geoelectrical and acoustic techniques,Journal of Geophysical Research: Earth Surface,2016,23,6/8/2021,Semi-permanent laboratory,Permafrost,,UK,1,,#DIV/0!,,,,,,1,
Nguyen et al. (2016),Data-driven selection of the minimum-gradient support parameter in time-lapse focused electric imaging,Geophysics,2016,18,6/11/2021,,Hydrogeology,,Belgium,,,,,,,,,1,
Nouveau et al. (2016),Electrical and thermal behavior of unsaturated soils: experimental results,Journal of Applied Geophysics,2016,14,5/26/2021,,Geothermy,,France,,,,,,,,,1,
Park et al. (2016),"Electrical resistivity imaging (ERI) monitoring for groundwater contamination in an uncontrolled landfill, South Korea",Journal of Applied Geophysics,2016,42,5/26/2021,,Contaminant monitoring,,South-Korea,,,,,,,,,,
Pellet et al. (2016),Soil moisture data for the validation of permafrost models using direct and indirect measurement approaches at three alpine sites,Frontiers in Earth Science,2016,29,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,2190,100,22,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,Syscal
Pezard et al. (2016),"Time-lapse downhole electrical resistivity monitoring of subsurface CO2 storage at the Maguelone shallow experimental site (Languedoc, France)",International Journal of Greenhouse Gas Control,2016,12,6/8/2021,Artificial conditions,Gas Dynamics,,France,1,,#DIV/0!,,,,,,1,
Robinson et al. (2016),Imaging Pathways in Fractured Rock Using Three-Dimensional Electrical Resistivity Tomography,Groundwater,2016,24,6/8/2021,Artificial conditions,Hydrogeology,,USA,,,,,,,,,,
Schmidt-Hattenberger et al. (2016),Permanent crosshole electrical resistivity tomography (ERT) as an established method for the long-term CO2 monitoring at the Ketzin pilot site,International Journal of Greenhouse Gas Control,2016,24,6/8/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,2920,416,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Shafei et al. (2016),"Detecting the source of contaminant zones down-gradient of the alborz sharghi coal washing plant using geo-electrical methods, northeastern Iran",Mine and Water and the Environment,2016,2,5/28/2021,,Mining environment,,Iran,,,,,,,,,,
Soupios et al. (2016),"Environmental geophysics: Techniques, advantages and limitations","Principles, Applications and Emerging Technologies",2016,5,6/8/2021,,Contaminant monitoring,,Grece,,,,,,,,,1,
Terry et al. (2016),Free phase gas processes in a northern peatl inferred from autonomous field‐scale resistivity imaging,Water Resources Research,2016,11,6/8/2021,,Hydrogeology,,USA,,,,,,,,,,
Tomakoviova et al. (2016) a,Effect of electrode shape on grounding resistances - Part 2: Experimental results and cryospheric monitoring - Qeqertasuaq,Geophysics,2016,10,6/8/2021,Semi-permanent study,Permafrost,Qeqertasuaq,Groenland,240,240,1,2D surface,Yes,64,0.5,2 lines of 64 elec,128,ABEM
Tomakoviova et al. (2016) b,Effect of electrode shape on grounding resistances - Part 2: Experimental results and cryospheric monitoring - Ilulissat,Geophysics,2016,10,6/8/2021,Semi-permanent study,Permafrost,Ilulissat,Groenl,2430,2430,1,2D surface,Yes,32,0.5,1 line of 64 elec,64,ABEM
Tomakoviova et al. (2016) c,Effect of electrode shape on grounding resistances - Part 2: Experimental results and cryospheric monitoring - Sisimiut,Geophysics,2016,10,6/8/2021,Semi-permanent study,Permafrost,Sisimiut,Groenl,365,35,10,2D surface,Yes,32,0.5,1 line of 64 elec,64,ABEM
Tran et al. (2016),Quantifying shallow subsurface water and heat dynamics using coupled hydrological-thermal-geophysical inversion,Hydrology and Earth System Sciences,2016,16,5/26/2021,Semi-permanent study,Geothermy,,USA,90,90,1,2d surface,No,110,1,1 line x 112elec,112,
Ts et al. (2016),Remote Real Time Monitoring for Underground Contamination in Mongolia Using Electrical Impedance Tomography,Journal of Nondestructive Evaluation,2016,4,6/8/2021,Semi-permanent laboratory,Contaminant monitoring,,Mongolie,,,,,,,,,,
Uhlemann et al. (2016),Integrated time-lapse geoelectrical imaging of wetlandand hydrological processes,Water Resources Research,2016,32,6/8/2021,Semi-permanent study,Hydrogeology,,UK,730,21,35,2D surface,No,32 + 15,0.5,1 line x 64 + 1 line x 32,96,ALERT
Uhlemann et al. (2016), Assessment of ground-based monitoring techniques applied to landslide investigations,Geomorphology,2016,99,6/8/2021,Semi-permanent study,Landslide,Hollin Hill,UK,1825,3780,0,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Valois et al. (2016),Application of combined time-lapse seismic refraction and electrical resistivity tomography to the analysis of infiltration and dissolution processes in the epikarst of the Causse du Larzac (France),Near Surface Geophysics,2016,8,6/8/2021,,Hydrogeology,,France,,,,,,,,,,
Ward et al. (2016),Tracking tracer motion in a 4-D electrical resistivity tomography experiment,Water Resources Research,2016,6,6/8/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
Wehrer et al. (2016),Characterization of reactive transport by 3-D electrical resistivity tomography (ERT) under unsaturated conditions,Water Resources Research,2016,5,5/26/2021,Semi-permanent laboratory,Contaminant monitoring,,USA,,,,,,,,,,
Wilkinson et al. (2016),Reconstruction of landslide movements by inversion of 4-D electrical resistivity tomography monitoring data,Geophysical Research Letters,2016,32,6/8/2021,Semi-permanent study,Landslide,Hollin Hill,UK,1500,1500,1,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Xu et al. (2016),landslide monitoring in southwestern China via time-lapse electrical resistivity tomography,Applied Geophysics,2016,24,6/8/2021,Regular measurements,Landslide,Bank of Zagunao River,China,274,6,0,"2,5D surface",No,3 x 595,5,3 x 120,360,DUK-2
Zeng et al. (2016),"Characterizing hydrological processes on loess slopes using electrical resistivity tomography–A case study of the Heifangtai Terrace, Northwest China",Journal of Applied Geophysics,2016,57,6/8/2021,,Landslide,,China,,,,,,,,,,
Zhang et al. (2016),Imaging Rainfall Infiltration Processes with the Time-Lapse Electrical Resistivity Imaging Method,Pure and Applied Geophysics,2016,6,6/8/2021,Artificial conditions,Hydrogeology,,China,,,,,,,,,,
Adebayo et al. (2017),"Measurements of electrical resistivity, NMR pore size and distribution, and x-ray CT-scan for performance evaluation of CO2 injection in carbonate rocks: A pilot study",International Journal of Greenhouse Gas Control,2017,19,6/8/2021,,Gas Dynamics,,Arabie Saoudite,,,,,,,,,,
Alamry et al. (2017), Spatial and temporal monitoring of soil moisture using surface electrical resistivity tomography in Mediterranean soils,Catena,2017,32,6/8/2021,,Hydrogeology,,France,,,,,,,,,,
Arosio et al. (2017),A customized resistivity system for monitoring saturation and seepage in earthen levees: installation and validation,Open Geosciences,2017,28,6/8/2021,Semi-permanent study,Geotechnics,,Italy,400,400,1,2D surface,Yes,"0,2 x 0,2",0.5,20cm x 20cm,48,Syscal + GRETA
Bass et al. (2017),Seasonal shifts in soil moisture throughout a semiarid hillslope ecotone during drought: A geoelectrical view,Vadose Zone Journal,2017,13,6/8/2021,Regular measurements,Hydrogeology,,USA,,,,,,,,,,
Bergmann et al. (2017),"Fluid injection monitoring using electrical resistivity tomography—five years of CO2 injection at Ketzin, Germany",Geophysical Prospecting,2017,24,6/8/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,2920,416,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Briggs et al. (2017),Surface Geophysical Methods for Characterising Frozen Ground in Transitional Permafrost Lscapes,Permafrost and Periglacial Processes,2017,29,6/8/2021,Regular measurements,Permafrost,,USA,,,,,,,,,,
Budler (2017),Improved Geoelectrical Imaging of Water Content Dynamics Applied to landslide Monitoring,Thesis,2017,0,6/8/2021,Semi-permanent study,Landslide,Test Site Dollendorfer Hardt,Germany,120,16,8,2D surface,Yes,47.5,0.5,1 line x 96 elec,96,ABEM + Syscal
Callaghan et al. (2017),"Salt leaching in fine-grained, macroporous soil: negative effects of excessive matrix saturation",Agricultural Water Management,2017,8,6/8/2021,Regular measurements,Vegetation,,Canada,,,,,,,,,,
Carey et al. (2017),Forward modeling to investigate inversion artifacts resulting from time-lapse electrical resistivity tomography during rainfall simulations,Journal of Applied Geophysics,2017,28,6/8/2021,,Hydrogeology,,USA,,,,,,,,,,
Caterina et al. (2017),Long-term ERT monitoring of biogeochemical changes of an aged hydrocarbon contamination,Journal of Contaminant Hydrology,2017,33,5/26/2021,Semi-permanent study,Contaminant monitoring,,Belgium,730,14,52,2D surface,No,48,1,1 line x 48 elec,48,ABEM
Consoli et al. (2017) ,Partial root-zone drying irrigation in orange orchards: Effects on water use and crop production characteristics,European Journal of Agronomy,2017,69,6/8/2021,,Vegetation,,Italy,,,,,,,,,,
Dafflon et al. (2017),"Coincident aboveground and belowground autonomous monitoring to quantify covariability in permafrost, soil, and vegetation properties in Arctic tundra",Journal of Geophysical Research: Biogeosciences,2017,29,6/8/2021,Semi-permanent study,Permafrost,,USA,365,365,1,2D surface,No,35,0.5,1 line x 72,72,MPT-DAS-1
De Donno et al. (2017),VEMI: a flexible interface for 3D tomographic inversion of time- and frequency-domain electrical data in EIDORS,Near Surface Geophysics,2017,10,6/8/2021,Laboratory setup,Hydrogeology,,Italy,,,,,,,,,1,
De Donno et al. (2017)c,High-resolution investigation of masonry samples through GPR and electrical resistivity tomography,Construction and Building Material,2017,13,6/8/2021,,Geotechnics,,Italy,,,,,,,,,,
Deng et al. (2017),Quantitative assessment of electrical resistivity tomography for monitoring DNAPLs migration–Comparison with high-resolution light transmission visualization in laboratory sbox,Journal of Hydrology,2017,16,6/8/2021,Laboratory setup,Contaminant monitoring,,China,,,,,,,,,,
Fabregat et al. (2017),"Reconstructing the internal structure and long-term evolution of hazardous sinkholes combining trenching, electrical resistivity imaging (ERI) and ground penetrating radar (GPR)",Geomorphology,2017,23,6/8/2021,Regular measurements,Geotechnics,,Espagne,,,,,,,,,,
Fernez de Vera et al. (2017),Tracer Experiment in a Brownfield Using Geophysics and a Vadose Zone Monitoring System,Vadose Zone Journal,2017,4,6/8/2021,Artificial conditions,Contaminant monitoring,,Belgium,1,,#DIV/0!,2D surface,No,20  40,"0,4  1,25",1 line x 48 elec  1 line x 32 elec,80,ABEM
Giordano et al. (2017),Time-lapse electrical resistivity imaging of the thermally affected zone of a Borehole Thermal Energy Storage system near Torino (Northern Italy),Journal of Applied Geophysics,2017,15,5/26/2021,,Geothermy,,Italy,,,,,,,,,1,
Greer et al. (2017),Electrical resistivity imaging of hydrologic flow through surface coal mine valley fills with comparison to other lforms,Hydrological Processes,2017,20,5/28/2021,,Mining environment,,USA,,,,,,,,,,
Haaken et al. (2017),Flow dynamics in hyper-saline aquifers: Hydro-geophysical monitoring and modeling,Hydrology and Earth System Sciences,2017,17,5/26/2021,Artificial conditions,Contaminant monitoring,,Italy,,,,,,,,,,
Halihan et al. (2017),Mechanism for detecting NAPL using electrical resistivity imaging,Journal of Contaminant Hydrology,2017,3,6/8/2021,Laboratory setup,Contaminant monitoring,,USA,,,,,,,,,,
Hen Jones et al. (2017),Seasonal effects on geophysical–geotechnical relationships and their implications for electrical resistivity tomography monitoring of slopes,Acta Geotechnica,2017,24,6/8/2021,,Landslide,,UK,,,,,,,,,,
Hubner et al. (2017),Impacts of a capillary barrier on infiltration and subsurface stormflow in layered slope deposits monitored with 3-D ERT and hydrometric measurements,Hydrology and Earth System Sciences,2017,12,6/8/2021,,Hydrogeology,,Germany,,,,,,,,,1,
Huizer et al. (2017),Monitoring  simulation of salinity changes in response to tide and storm surges in a sy coastal aquifer system,Water Resources Research,2017,16,5/28/2021,,Saline intrusion,,Pays-Bas,,,,,,,,,,
Johnson et al. (2017),PFLOTRAN-E4D: A parallel open source PFLOTRAN module for simulating time-lapse electrical resistivity data,Computers and Geosciences,2017,21,6/11/2021,,Hydrogeology,,USA,,,,,,,,,1,
Jun et al. (2017),Controlled release test facility to develop environmental monitoring techniques for geologically stored CO2 in Korea,Energy Procedia,2017,18,6/10/2021,,Gas Dynamics,,South-Korea,,,,,,,,,,
Keuschnig et al. (2017),Automated electrical resistivity tomography testing for early warning in unstable permafrost rock walls around alpine infrastructure,Permafrost and Periglacial Processes,2017,14,6/8/2021,Semi-permanent study,Permafrost,Kitzsteinhorn,Austria,365,2500,0,2D surface,No,72,2,1 line x 37,37,GeoTom-MK1E100
Lesparre et al. (2017),A new approach for time-lapse data weighting in electrical resistivity tomography,Geophysics,2017,24,6/11/2021,Artificial conditions,Hydrogeology,,Belgium,,,,,,,,,1,
Ling et al. (2017),"Evaluation of surface water and groundwater contamination in a MSW landfill area using hydrochemical analysis and electrical resistivity tomography: a case study in Sichuan province, Southwest China",Environmental Monitoring and Assessment,2017,14,5/26/2021,,Contaminant monitoring,,China,,,,,,,,,,
Liu et al. (2017),An improved Time-Lapse resistivity tomography to monitor and estimate the impact on the groundwater system induced by tunnel excavation,Tunnelling and Underground Space Technology,2017,13,6/11/2021,Laboratory setup,Hydrogeology,,China,,,,,,,,,,
Lucas et al. (2017),Application of geotechnical and geophysical field measurements in inactive alpine environment,Engineering Geology,2017,17,6/8/2021,Regular measurements,Landslide,-,Switzerland,62,6,0,2D surface,No,47,1,48,48,?
McLachlan et al. (2017),Geophysical characterisation of the groundwater–surface water interface,Advances in water ressources,2017,56,6/11/2021,,Hydrogeology,,UK,,,,,,,,,,
